# version=2025NOV01

Rom;Genre;Year;Manufacturer;System;Clone;AKNF;Buttons;Controls;Mature;Players;Monitor;Slow;Notes
sotsugyo;Multiplay / Mini-Games;1995;Mitchell (Atlus license);Data East 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
soukobdx;Puzzle / Misc.;1990;Namco;Namco System 1;yes;;3;joystick (8-way);;1P;CRT 15Khz;;
soulclba;;1998;Namco;Namco System 12;yes;;6;joystick (8-way);;???;CRT 31Khz;;
soulclbb;;1998;Namco;Namco System 12;yes;;6;joystick (8-way);;2P sim;CRT 31Khz;;
soulclbc;;1998;Namco;Namco System 12;yes;;6;joystick (8-way);;2P sim;CRT 31Khz;;
soulclbr;Fighter / Versus;1998;Namco;Namco System 12;no;;6;joystick (8-way);;2P sim;CRT 31Khz;YES;
souledga;;1995;Namco;Namco System 11;yes;;4;joystick (8-way);;2P sim;CRT 31Khz;;
souledgb;;1995;Namco;Namco System 11;yes;;4;joystick (8-way);;2P sim;CRT 31Khz;;
souledgc;;1995;Namco;Namco System 11;yes;;4;joystick (8-way);;2P sim;CRT 31Khz;;
souledge;Fighter / Versus;1996;Namco;Namco System 11;no;;4;joystick (8-way);;2P sim;CRT 31Khz;;
spacbatt;Shooter / Gallery;1980;bootleg;Galaxian Z80;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacbeam;Shooter / Gallery;1979;Irem;Irem M10;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacduel;Shooter / Field;1980;Atari;Atari Vector;no;true;3;joystick (2-way);;2P sim;;;
spaceat2;Shooter / Gallery;1980;Zenitone-Microsec Ltd;Midway 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spaceatt;Shooter / Gallery;1978;Video Games GMBH;Midway 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacebrd;Shooter / Gallery;1980;bootleg;Nintendo Space Firebird hardware;yes;;2;joystick (2-way);;2P alt;CRT 15Khz;;
spacecho;Shooter / Gallery;1980;bootleg;Sun Electronics 8080/Z80;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacecr;Shooter / Gallery;1981;Taito Corporation;Taito SJ;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacedem;Shooter / Gallery;1980;Nintendo (Fortrek license);Nintendo Space Firebird hardware;yes;;2;joystick (2-way);;2P alt;CRT 15Khz;;
spacedx;Shooter / Gallery;1994;Taito Corporation;Taito B-System;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
spacedxj;Shooter / Gallery;1994;Taito Corporation;Taito B-System;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
spacedxo;Shooter / Gallery;1994;Taito Corporation;Taito B-System;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
spacefb;Shooter / Gallery;1980;Nintendo;Nintendo Space Firebird hardware;no;true;2;joystick (2-way);;2P alt;CRT 15Khz;;
spacefbb;Shooter / Gallery;1980;bootleg;Nintendo Space Firebird hardware;yes;;2;joystick (2-way);;2P alt;CRT 15Khz;;
spacefbg;Shooter / Gallery;1980;Gremlin;Nintendo Space Firebird hardware;yes;;2;joystick (2-way);;2P alt;CRT 15Khz;;
spacefev;Shooter / Gallery;1979;Nintendo;Nintendo 8080 B/W;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacefrt;Shooter / Misc.;1981;Century Electronics;Centuri CVS;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spaceftr;Shooter / Field;1981;Zaccaria;Cinematronics;yes;;2;joystick (2-way);;2P alt;;;
spacefva;;1979;Nintendo;Nintendo 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spaceg;Shooter / Gallery;1979;Omori;Omori Z80;no;;4;joystick (8-way);;2P alt;CRT 15Khz;;
spacegun;Shooter / Gun;1990;Taito Corporation Japan;Taito Z-System;no;true;3;lightgun;;2P sim;CRT 15Khz;;
spaceinj;;1980;Shoei;Stern/Zaccaria 8080;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spaceint;Shooter / Gallery;1980;Shoei;Stern/Zaccaria 8080;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacelnc;Shooter / Gallery;1979;Nintendo;Nintendo 8080 B/W;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spaceod;Shooter / Flying;1981;Sega;Sega G80 raster;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spaceph;Shooter / Gallery;1979;Zilec Games;Midway 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spaceplt;Shooter / Field;1982;bootleg;Konami;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
spaceskr;Shooter / Flying 1st Person;1981;Taito Corporation;Taito SJ;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spacetrk;Shooter / Gallery;1980;Sega;Sega Vic Dual;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spacewar;Shooter / Field;1977;Cinematronics;Cinematronics;no;;3;joystick (2-way);;2P sim;;;
spacewr3;Shooter / Gallery;1978;bootleg;Midway 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spacezap;Shooter / Gallery;1980;Midway;Bally Astrocade;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
spacfura;;1981;Sega;Sega G80 video;yes;;2;joystick (2-way);;2P alt;;;
spacfury;Shooter / Field;1981;Sega;Sega G80 video;no;;2;joystick (2-way);;2P alt;;;
spang;Shooter / Balloon Popping;1990;Mitchell;Mitchell 68000;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
spangj;Shooter / Balloon Popping;1990;Mitchell;Mitchell 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
sparkman;Platform / Shooter Scrolling;1989;SunA;SunA Z80;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
sparkz;Puzzle / Drop;1992;Atari Games;Atari System 1;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
spartanx;Fighter / 2D;1984;Irem;Irem M62;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
spatter;Maze / Driving;1984;Sega;Sega System 1;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spbactn;Arcade / Pinball * Mature *;1991;Tecmo;Tecmo Z80;no;;3;;;1P;CRT 15Khz;;
spbactnj;Arcade / Pinball * Mature *;1991;Tecmo;Tecmo Z80;yes;;3;;;1P;CRT 15Khz;;
spceking;Shooter / Gallery;1978;Leijac (Konami);Midway 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spcenctr;Shooter / Gallery;1980;Midway;Midway 8080 B/W;no;;1;joystick (analog);;1P;CRT 15Khz;;
spcewarl;Shooter / Gallery;1979;Leijac (Konami);Midway 8080 B/W;yes;;1;joystick (2-way);;2P sim;CRT 15Khz;;
spcewars;Shooter / Gallery;1978;Sanritsu;Midway 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spcforc2;Shooter / Field;;Elcon (bootleg?);Custom Z80;yes;;2;joystick (2-way);;2P alt;CRT 15Khz;;
spcforce;Shooter / Field;1980;Venture Line;Custom Z80;no;;2;joystick (2-way);;2P alt;CRT 15Khz;;
spcfrcii;Shooter / Walking;1985;Senko Industries (Magic Eletronics Inc. licence);Nintendo Donkey Kong hardware;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spcinv95;Shooter / Gallery;1995;Taito Corporation Japan;Taito F3 System;no;;4;dial;;2P sim;CRT 15Khz;;
spcinvdj;Shooter / Gallery;1994;Taito Corporation;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
spcking2;Shooter / Gallery;1979;Konami;Stern/Zaccaria 8080;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spclaser;Shooter / Gallery;1980;GamePlan (Taito);Midway 8080 B/W;no;;1;joystick (2-way);;2P sim;CRT 15Khz;;
spclforc;Shooter / Walking;1985;Senko Industries (Magic Eletronics Inc. licence);Nintendo Donkey Kong hardware;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spclorda;;1992;Atari Games;Atari GX2;yes;;4;joystick (analog);;2P sim;CRT 15Khz;;
spclordb;;1992;Atari Games;Atari GX2;yes;;4;joystick (analog);;2P sim;CRT 15Khz;;
spclordg;;1992;Atari Games;Atari GX2;yes;;4;joystick (analog);;2P sim;CRT 15Khz;;
spclords;Shooter / Flying 1st Person;1992;Atari Games;Atari GX2;no;;4;joystick (analog);;2P sim;CRT 15Khz;;
spcnv95u;;1995;Taito America Corporation;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
spcpostn;Driving / Race;1986;Sega / Nasco;Sega System 1;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
spctbird;Shooter / Gallery;;Fortrek;Galaxian Z80;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spdball;Sports / Misc.;1985;Williams;Williams arcade hardware;no;;1;trackball;;2P sim;CRT 15Khz;;
spdcoin;Puzzle / Misc.;1984;Stern;Galaxian Z80;no;;;joystick (2-way);;2P alt;CRT 15Khz;;
spdodgeb;Sports / Dodgeball;1987;Technos;Technos 68000;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
speakres;Shooter / Gallery;1980;Sun Electronics;Sun Electronics 8080/Z80;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spec2k;Shooter / Flying Vertical;2000;Yonatech;NMK 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
spectar;Maze / Shooter Small;1980;Exidy;Exidy 6502;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
spectar1;Maze / Shooter Small;1980;Exidy;Exidy 6502;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
speedatk;Gambling / Cards;1984;Seta Kikaku Corp.;Seta 68000;no;;5;joystick (2-way);;2P sim;CRT 15Khz;;
speedbal;Arcade / Pinball;1987;Tecfri;Tecfri Z80;no;;4;;;2P alt;CRT 15Khz;;
speedfrk;Driving / 1st Person;1979;Vectorbeam;Cinematronics;no;;1;dial;;1P;;;
speedrcr;Driving / Race (chase view);1995;Namco;Namco Fl;no;;4;paddle;;1P;CRT 15Khz;;
speedspn;Sports / Ping Pong;1994;TCH;TCH 68000;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
speedup;Driving / Race (chase view);1996;Gaelco;Gaelco 3D;no;;5;paddle;;1P;CRT 31Khz;;
speglsha;;1994;Seta;Seta ST-0016;yes;;3;joystick (8-way);;???;CRT 25Khz;;
speglsht;Sports / Golf;1994;Seta;Seta ST-0016;no;;3;joystick (8-way);;4P alt;CRT 15Khz;;
spelnkrj;;1985;Irem (licensed from Broderbund);Irem M62;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spelunk2;Platform / Run, Jump & Scrolling;1986;Irem (licensed from Broderbund);Irem M62;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spelunkr;Platform / Run, Jump & Scrolling;1985;Irem (licensed from Broderbund);Irem M62;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
spf2t;Puzzle / Drop;1996;Capcom;Capcom CPS-2;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
spf2ta;Puzzle / Drop;1996;Capcom;Capcom CPS-2;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
spf2xj;Puzzle / Drop;1996;Capcom;Capcom CPS-2;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
spiders;Shooter / Gallery;1981;Sigma Enterprises Inc.;Sigma Z80;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spiders2;Shooter / Gallery;1981;Sigma Enterprises Inc.;Sigma Z80;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
spidman;Platform / Fighter Scrolling;1991;Sega;Sega System 32;no;true;2;joystick (8-way);;4P sim;CRT 15Khz;;
spidmanu;Platform / Fighter Scrolling;1991;Sega;Sega System 32;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
spiero;Maze / Collect;1987;Universal;Universal Z80;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
spikeofe;Fighter / 3D;1998;Sega;Sega Model 3;no;;4;joystick (8-way);;1P;CRT 25Khz;;
spikeout;Fighter / 3D;1998;Sega;Sega Model 3;no;;4;joystick (8-way);;1P;CRT 25Khz;;
spiker;Sports / Volleyball;1986;Bally/Sente;Bally Sente SAC-1;no;;1;trackball;;2P sim;CRT 15Khz;;
spinlbrj;;1990;V-System Co.;Video System 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
spinlbrk;Shooter / 3rd Person;1990;V-System Co.;Video System 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
spinlbru;;1990;V-System Co.;Video System 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
spinmast;Platform / Fighter Scrolling;1993;Data East Corporation;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
spinner;Shooter / Gallery;1981;bootleg;Sigma Z80;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
splash;Puzzle / Paint * Mature *;1992;Gaelco;Gaelco 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
splash10;Puzzle / Paint * Mature *;1992;Gaelco;Gaelco 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
splat;Shooter / Field;1982;Williams;Williams arcade hardware;no;;;double joystick (8-way);;2P sim;CRT 15Khz;;
splattej;;1988;Namco;Namco System 1;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
splatter;Fighter / 2D;1988;Namco;Namco System 1;no;true;3;joystick (8-way);;2P alt;CRT 15Khz;;
splndrbt;Shooter / Flying Vertical;1985;Alpha Denshi Co.;Alpha Denshi 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spnchotj;;1984;Nintendo;Nintendo Punch-Out!! dual-monitor;yes;;4;joystick (4-way);;1P;CRT 15Khz;;
spnchout;Sports / Boxing;1984;Nintendo;Nintendo Punch-Out!! dual-monitor;no;;4;joystick (4-way);;1P;CRT 15Khz;;
spool3;Sports / Pool;1989;Data East Corporation;Data East 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spool3i;Sports / Pool;1990;Data East Corporation (I-Vics license);Data East 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
sprcros2;Driving / Motorbike;1986;GM Shoji;Custom Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
sprcrs2a;;1986;GM Shoji;Custom Z80;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
sprglbpg;Platform / Run Jump;1983;Bootleg;Namco Pac-Man;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
sprglobp;Platform / Run Jump;1983;Epos Corporation;Namco Pac-Man;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
springer;Platform / Run Jump;1982;Orca;Orca Z80;no;;1;joystick (8-way);;2P alt;CRT 15Khz;;
sprint1;Driving / Race Track;1978;Atari;Atari discrete;no;;5;dial;;1P;CRT 15Khz;;
sprint2;Driving / Race Track;1976;Atari;Atari discrete;yes;;6;dial;;2P sim;CRT 15Khz;;
sprint2a;Driving / Race Track;1976;Atari;Atari discrete;yes;;6;dial;;2P sim;CRT 15Khz;;
sprint4;Driving / Race Track;1977;Atari;Atari discrete;no;;5;dial;;4P sim;CRT 15Khz;;
sprint4a;Driving / Race Track;1977;Atari;Atari discrete;yes;;5;dial;;4P sim;CRT 15Khz;;
sprint8;Driving / Race Track;1977;Atari;Atari discrete;no;;2;dial;;8P sim;CRT 15Khz;;
sprint8a;Driving / Race Track;1977;Atari;Atari discrete;yes;;2;dial;;8P sim;CRT 15Khz;;
sprmatkd;;1981;Atari + Gencomp;Atari Vector;yes;;3;trackball;;2P alt;CRT 15Khz;;
sprtmtch;Puzzle / Match;1989;Dynax (Fabtek license);Dynax 68000;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
sptrekct;;1980;Sega;Sega Vic Dual;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
spy;Fighter / 2.5D;1989;Konami;Konami;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
spyhnt2a;;1987;Bally Midway;Midway MCR-68;yes;;7;paddle;;2P sim;CRT 31Khz;;
spyhunt;Shooter / Driving Vertical;1983;Bally Midway;Midway MCR-3;no;;6;paddle;;1P;CRT 31Khz;;
spyhunt2;Shooter / Driving (chase view);1987;Bally Midway;Midway MCR-68;no;;7;paddle;;2P sim;CRT 31Khz;;
spyu;Fighter / 2.5D;1989;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
sqbert;Platform / Run Jump;1983;Mylstar;Gottlieb 6502;no;;;joystick (4-way);;2P alt;CRT 15Khz;;
sqix;Puzzle / Outline;1987;Taito;Taito Qix;no;true;1;joystick (4-way);;2P alt;CRT 15Khz;;
sqixa;;1987;Taito;Taito Qix;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
sqixbl;;1987;bootleg;Taito Qix;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
squash;Sports / Tennis;1992;Gaelco;Gaelco early;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
sraider;Shooter / Gallery;1982;Universal;Universal Z80;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
srally2;Driving / Race (chase view);1998;Sega;Sega Model 3;no;;8;paddle;;1P;CRT 25Khz;;
srallyc;Driving / Race (chase view);1995;Sega;Sega Model 2;no;;4;joystick (8-way);;1P;CRT 25Khz;;
sraly2dx;;1998;Sega;Sega Model 3;no;;8;paddle;;???;CRT 25Khz;;
sranger;Platform / Shooter Scrolling;1988;SunA;SunA Z80;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
srangerb;Platform / Shooter Scrolling;1988;bootleg;SunA Z80;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
srangerw;Platform / Shooter Scrolling;1988;SunA (WDK license);SunA Z80;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
srdarwin;Shooter / Flying Vertical;1987;Data East Corporation;Data East 8-bit;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
srdarwnj;;1987;Data East Corporation;Data East 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
srdmissn;Shooter / Flying Vertical;1986;Taito Corporation;Kyugo Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
srmp2;Tabletop / Mahjong * Mature *;1987;Seta;Seta 68000;no;;;;;1P;CRT 15Khz;;
srmp3;Tabletop / Mahjong * Mature *;1988;Seta;Seta 68000;no;;;;;1P;CRT 15Khz;;
srmp4;Tabletop / Mahjong * Mature *;1993;Seta;SSV;no;;;;;1P;CRT 15Khz;;
srmp4o;Tabletop / Mahjong * Mature *;1993;Seta;SSV;yes;;;;;1P;CRT 15Khz;;
srmp5;Tabletop / Mahjong;;Seta;Seta ST-0016;no;;;;;1P;CRT 15Khz;;
srmp6;Tabletop / Mahjong * Mature *;1995;Seta;Seta 68000;no;;;;;1P;CRT 15Khz;;
srmp7;Tabletop / Mahjong * Mature *;1997;Seta;SSV;no;;;;;1P;CRT 15Khz;;
srumbler;Shooter / Driving Vertical;1986;Capcom;Capcom pre-CPS;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
srumblr2;;1986;Capcom;Capcom pre-CPS;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ssanchan;Maze / Driving;1984;Sega;Sega System 1;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
sscandal;Fighter / 2D;1985;Coreland / Sega;Sega System 1;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
sscope;Shooter / Gun;2000;Konami;Konami Hornet;no;;3;joystick (8-way);;1P;CRT 15Khz;;
sscope2;Shooter / Gun;2000;Konami;Konami Hornet;no;;3;joystick (8-way);;1P;CRT 15Khz;;
sscopea;Shooter / Gun;2000;Konami;Konami Hornet;yes;;3;joystick (8-way);;1P;CRT 15Khz;;
ssf2;Fighter / Versus;1993;Capcom;Capcom CPS-2;no;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2a;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2ar1;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2j;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2jr1;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2jr2;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2t;Fighter / Versus;1994;Capcom;Capcom CPS-2;yes;true;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2ta;Fighter / Versus;1994;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2tb;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2tbj;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2tbr1;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2tu;Fighter / Versus;1994;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2tur1;Fighter / Versus;1994;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2u;Fighter / Versus;1993;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssf2xj;Fighter / Versus;1994;Capcom;Capcom CPS-2;yes;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssfindo;Puzzle / Match;1999;Icarus;Acorn Archimedes;no;;1;joystick (8-way);;2P sim;CRT 25Khz;;
sshangha;Tabletop / Shanghai;1992;Hot-B.;Data East 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
sshanghb;;1992;bootleg;Data East 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
sshoot11;;1998;P & P Marketing;Custom gambling hardware;yes;;1;lightgun;;2P sim;CRT 15Khz;;
sshoot12;;1998;P & P Marketing;Custom gambling hardware;yes;;1;lightgun;;2P sim;CRT 15Khz;;
sshooter;Shooter / Gun;1998;P & P Marketing;Custom gambling hardware;no;;1;lightgun;;2P sim;CRT 15Khz;;
sshot137;;1997;Strata/Incredible Technologies;Incredible Technologies 32-bit;yes;;2;trackball;;4P alt;CRT 15Khz;;
sshot139;;1997;Strata/Incredible Technologies;Incredible Technologies 32-bit;yes;;2;trackball;;4P alt;CRT 15Khz;;
ssi;Shooter / Gallery;1990;Taito Corporation Japan;Taito F2 System;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
ssideki;Sports / Soccer;1992;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
ssideki2;Sports / Soccer;1994;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
ssideki3;Sports / Soccer;1995;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
ssideki4;Sports / Soccer;1996;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
ssingles;Maze / Collect * Mature *;;Yachiyo;Yachiyo Z80;no;;;;;2P alt;CRT 15Khz;;
sslam;Sports / Tennis;1993;Playmark;Playmark 68000;no;;3;joystick (8-way);;4P sim;CRT 15Khz;;
sslama;Sports / Tennis;1993;Playmark;Playmark 68000;yes;;3;joystick (8-way);;4P sim;CRT 15Khz;;
ssmissin;Shooter / Flying Vertical;1992;Comad;NMK 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
ssoldier;Fighter / Versus;1993;Irem America;Irem M92;no;;6;joystick (8-way);;2P sim;CRT 15Khz;;
ssonicbr;Puzzle / Drop;1992;Sega;Sega C2;no;;1;joystick (8-way);;2P sim;CRT 15Khz;;
ssozumo;Sports / Sumo;1984;Technos;Technos 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
sspacaho;MultiGame / Compilation;1979;Sega;Sega Vic Dual;no;;2;joystick (4-way);;2P alt;CRT 15Khz;;
sspacat2;;1979;Sega;Sega Vic Dual;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
sspacat3;;1979;Sega;Sega Vic Dual;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
sspacatc;;1979;Sega;Sega Vic Dual;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
sspaceat;Shooter / Gallery;1979;Sega;Sega Vic Dual;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
sspeedr;Driving / Race;1979;Midway;Taito 8-bit;no;;1;dial;;1P;CRT 15Khz;;
sspiritj;Shooter / Flying Vertical;1988;Sega;Sega System 24;yes;;3;joystick (8-way);;2P sim;CRT 25Khz;;
sspirits;Shooter / Flying Vertical;1988;Sega;Sega System 24;no;;3;joystick (8-way);;2P sim;CRT 25Khz;;
sspirtfc;Shooter / Flying Vertical;1988;Sega;Sega System 24;yes;;3;joystick (8-way);;2P sim;CRT 25Khz;;
sspring1;;1986;Atari Games;Atari System 2;yes;;;dial;;3P sim;CRT 25Khz;;
ssprint;Driving / Race Track;1986;Atari Games;Atari System 2;no;;;dial;;3P sim;CRT 25Khz;;
ssprint1;Driving / Race Track;1986;Atari Games;Atari System 2;yes;;;dial;;3P sim;CRT 25Khz;;
ssprint3;Driving / Race Track;1986;Atari Games;Atari System 2;yes;;;dial;;3P sim;CRT 25Khz;;
ssprintf;Driving / Race Track;1986;Atari Games;Atari System 2;yes;;;dial;;3P sim;CRT 25Khz;;
ssprintg;Driving / Race Track;1986;Atari Games;Atari System 2;yes;;;dial;;3P sim;CRT 25Khz;;
ssprints;Driving / Race Track;1986;Atari Games;Atari System 2;yes;;;dial;;3P sim;CRT 25Khz;;
ssrdrabd;;1991;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
ssrdradd;;1991;Konami;Konami;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
ssrdreaa;;1991;Konami;Konami;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
ssrdrebc;;1991;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
ssrdrebd;;1991;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
ssrdrjbd;;1991;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
ssrdruac;;1991;Konami;Konami;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
ssrdrubc;;1991;Konami;Konami;yes;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
ssrdruda;;1991;Konami;Konami;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
ssriders;Platform / Shooter Scrolling;1991;Konami;Konami;no;;2;joystick (8-way);;4P sim;CRT 15Khz;;
ssrj;Driving / Race;1985;Taito Corporation;Taito 8-bit;no;;2;dial;;1P;CRT 15Khz;;
sss;Sports / Skiing;1998;Capcom / Cave / Victor;Sega ST-V;no;;6;joystick (8-way);;1P;CRT 15Khz;;
sstarbtl;Shooter / Gallery;1979;bootleg;Data East 8-bit;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
sstingry;Shooter / Driving Vertical;1986;Alpha Denshi Co.;Alpha Denshi 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
